pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Butambala,Kaliro,Butambala,1033.6,25.0,30.0,,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1043.6,60.0,60.0,1.0,,,,,100.0,,,,,,
Bubalala,Kaliro,Butambala,1028.1,39.0,180.0,,,,,,20.0,,,,,,
Butambala,Kaliro,Butambala,1024.6,60.0,120.0,0.0,,,,,20.0,,,,,,
Ireehe,Kaliro,Butambala,1037.1,51.0,30.0,1.0,,,,,20.0,,,,,,
Busiginyi,Kaliro,Isalo,1025.3,57.0,30.0,1.0,,,,,20.0,,,,,,
Bubalala,Kaliro,Butambala,1014.8,51.0,60.0,0.5,,,,,60.0,38.0,,4.0,,1.0,
Butwoli,Kaliro,Isalo,1053.8,32.0,50.0,,,,,,,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1051.8,54.0,2.0,1.0,,,7.0,112.0,,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1017.5,23.0,30.0,0.5,,,13.2,,800.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1008.1,36.0,120.0,0.25,,,,,40.0,,,,,20.0,
Namukoko,Kaliro,Bupyana,1052.8,80.0,10.0,0.0,,,,,100.0,,,,,,
Busiro,Kaliro,Panyolo,1048.0,33.0,15.0,1.0,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1034.8,30.0,60.0,0.25,,,,,60.0,40.0,,4.0,,1.0,
Nabweyo,Kaliro,Gadumire,1039.3,29.0,60.0,1.0,,,,,40.0,,,,,10.0,
Butambala,Kaliro,Butambala,1035.5,36.0,60.0,1.0,,,14.0,,,,,,,,
Bugonya,Kaliro,Gadumire,1059.8,58.0,10.0,3.5,70.0,,,,200.0,,,,,,
Kiranga_A,Kaliro,Bupyana,1046.2,29.0,60.0,0.75,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1047.1,54.0,60.0,0.5,,,,,,,,,,10.0,
Buseru,Kaliro,Butambala,1000.7,20.0,180.0,0.75,,,,,,,,,,,
Nakisenyi,Kaliro,Panyolo,1009.4,91.0,120.0,1.4,,,,,,,,,,,
Nansohera_B,Kaliro,Bupyana,1036.6,51.0,90.0,1.0,,,,,200.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1053.8,47.0,180.0,2.0,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1025.7,50.0,120.0,5.0,,,,,,,,,,,
Buseta,Kaliro,Isalo,1043.5,35.0,60.0,1.5,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1045.4,21.0,2.0,0.4,,,5.0,,40.0,,,,,5.0,
Butwoli,Kaliro,Isalo,1033.5,76.0,60.0,3.0,,,,,300.0,,,,,,
Bukere,Kaliro,Bupyana,1029.4,27.0,15.0,0.75,,,,,,,,,,,
Kiranga_A,Kaliro,Bupyana,1037.4,41.0,150.0,0.0,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1054.5,70.0,20.0,0.8,,,,,100.0,,,,,,
Namukoko,Kaliro,Bupyana,1035.9,40.0,60.0,1.0,,,,,100.0,,,,,,
Nansohera_A,Kaliro,Bupyana,1037.1,39.0,30.0,1.0,,,,,100.0,,,,,,
Butwoli,Kaliro,Isalo,1039.7,70.0,30.0,6.0,,,,,100.0,,,,,,
Bubalala,Kaliro,Butambala,1032.0,29.0,60.0,0.9,,,,,100.0,,,,,,
Butambala,Kaliro,Butambala,1035.0,50.0,60.0,0.5,,,,,100.0,,,,,,
Bususwa,Kaliro,Gadumire,1060.2,30.0,60.0,,,,,,160.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1024.8,70.0,4.0,1.0,,,,,400.0,74.0,,,,,
Butwoli,Kaliro,Isalo,1041.0,30.0,50.0,1.5,,,,,20.0,,,,,,
Kyamba,Kaliro,Bupyana,1040.1,40.0,60.0,0.25,,,,,100.0,,,,,,
Kyamba,Kaliro,Bupyana,1049.8,35.0,20.0,1.0,,,,,100.0,,,,,,
Nakawa,Kaliro,Butambala,1026.9,55.0,20.0,2.0,,,,,100.0,,,,,,
Nansohera_A,Kaliro,Bupyana,1037.1,58.0,16.0,0.5,,,,,,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1039.4,39.0,60.0,0.8,,,,,200.0,,,,,0.0,
Nakisenyi,Kaliro,Panyolo,1037.3,91.0,60.0,,,,,,,,,,,,
Busege,Kaliro,Panyolo,1017.2,28.0,60.0,1.0,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1040.0,58.0,60.0,2.0,,,,,40.0,,,,,,
Bunabiro,Kaliro,Gadumire,1064.9,57.0,40.0,,,,,,120.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1026.6,42.0,30.0,0.8,,,,,120.0,,,,,,
Budongo,Kaliro,Butambala,1043.4,57.0,15.0,0.125,,,,,200.0,,,,,0.0,
Bunabiro,Kaliro,Gadumire,1060.6,16.0,20.0,2.5,,,,,104.0,,,,,,
Namukoko,Kaliro,Bupyana,1052.8,41.0,30.0,2.0,,,,,200.0,,,,,,
Busiginyi,Kaliro,Isalo,1030.9,42.0,60.0,1.5,,,,,200.0,,,,,,
Buseru,Kaliro,Butambala,1074.4,21.0,60.0,,,,8.0,,140.0,,,,,,
Butwoli,Kaliro,Isalo,1013.6,35.0,60.0,1.0,25.0,,4.0,,200.0,,,,,0.0,
Lake_Nakuwa,Kaliro,Panyolo,1061.5,48.0,160.0,,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1020.4,25.0,30.0,,,,,,200.0,,,,,0.0,
Butambala,Kaliro,Butambala,1025.8,58.0,20.0,,,,,,200.0,,,,,0.0,
Iguliryo,Kaliro,Panyolo,1037.0,53.0,120.0,2.0,34.0,,15.0,,40.0,,,8.0,,5.0,
Busiro_Tabina,Kaliro,Panyolo,1031.7,23.0,30.0,,,,,,,,,,,,
Nakisenyi,Kaliro,Panyolo,1033.5,40.0,60.0,,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1038.0,23.0,25.0,0.5,80.0,,,,36.0,70.0,,3.0,,,
Busiro_Cenral,Kaliro,Panyolo,1047.5,49.0,15.0,0.5,,,,,100.0,50.0,,,,7.0,
Nabweyo,Kaliro,Gadumire,0.0,49.0,120.0,2.0,,,,,,,,,,,
Buseru,Kaliro,Butambala,1036.6,30.0,30.0,0.125,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1041.5,82.0,3.0,1.0,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1056.1,37.0,8.0,1.0,,,,,140.0,,,,,,
Iguliryo,Kaliro,Panyolo,1009.6,28.0,30.0,0.0,,,,,200.0,,,,,,
Namukoko,Kaliro,Bupyana,1042.7,40.0,60.0,1.0,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1062.0,52.0,12.0,2.0,,,,,300.0,,,,,,
Nabweyo,Kaliro,Gadumire,1045.7,26.0,60.0,0.8,,,13.2,,800.0,,,,,,
Bubalala,Kaliro,Butambala,1019.2,58.0,60.0,2.0,,,,,,,,,,,
Bubalala,Kaliro,Butambala,1016.4,90.0,40.0,,,,,,,,,,,,
Kyamba,Kaliro,Bupyana,1041.8,58.0,70.0,1.2,,,,,500.0,,,,,,
Iguliryo,Kaliro,Panyolo,1022.9,25.0,50.0,1.0,,,,,600.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1086.9,45.0,60.0,,,,,,400.0,,,,,40.0,
Isaalo,Kaliro,Isalo,1018.0,20.0,2.0,1.0,,,,,400.0,,,,,,
Budongo,Kaliro,Butambala,1031.7,56.0,70.0,3.9,,,,,400.0,,,,,,
Buvundya,Kaliro,Bupyana,1039.2,28.0,40.0,,,,,,400.0,,,,,,
Namukoko,Kaliro,Bupyana,1054.5,32.0,15.0,0.3,,,,,,,,,,,
Buseru,Kaliro,Butambala,1029.1,57.0,60.0,,,,,,60.0,,,,,,
Namukoko,Kaliro,Bupyana,1054.5,65.0,60.0,3.8,,,,,200.0,,,,,40.0,
Gadumire_T/C,Kaliro,Gadumire,1055.9,85.0,30.0,0.0,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1022.8,60.0,2.0,0.0,,,,,110.0,,,,,,
Bususwa,Kaliro,Gadumire,1044.3,22.0,60.0,,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1012.4,37.0,30.0,0.75,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1065.6,26.0,60.0,2.0,,,,,10.0,,,,,,
Namukoko,Kaliro,Bupyana,1054.9,67.0,30.0,2.75,,,,,60.0,,,,,,
Buseta,Kaliro,Isalo,1023.1,23.0,35.0,,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1038.5,23.0,60.0,1.0,,,,,,,,,,,
Nakawa,Kaliro,Butambala,1022.3,40.0,60.0,,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1028.4,79.0,30.0,0.5,,,,,120.0,90.0,,,,,
Nansohera_A,Kaliro,Bupyana,1018.6,33.0,2.0,0.0,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1058.4,35.0,30.0,0.0,,,,,60.0,,,,,,
Ruhunga,Kaliro,Isalo,1038.5,38.0,60.0,2.5,,,,,500.0,,,,,,
Busiginyi,Kaliro,Isalo,1035.1,33.0,60.0,0.5,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1036.2,90.0,40.0,0.0,,,14.0,,,,,,,,
Ruhunga,Kaliro,Isalo,1037.9,19.0,30.0,,,,14.0,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1048.2,32.0,30.0,1.5,,,,,200.0,,,,,0.0,
Isaalo,Kaliro,Isalo,1008.9,25.0,2.0,3.5,,,,,100.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1040.8,47.0,25.0,1.2,,,,,500.0,,,,,,
Nabweyo,Kaliro,Gadumire,1045.3,36.0,120.0,,,,,,,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1048.8,39.0,75.0,,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1045.8,24.0,30.0,0.3,,,,,80.0,,,,,0.0,
Bukere,Kaliro,Bupyana,1045.0,68.0,60.0,1.0,,,,,80.0,,,,,0.0,
Nabweyo,Kaliro,Gadumire,1049.9,21.0,3.0,,,,,,,,,,,,
Budongo,Kaliro,Butambala,1033.0,40.0,10.0,,,,,,,80.0,,,,,
Bukere,Kaliro,Bupyana,1016.2,68.0,25.0,1.0,,,,,,80.0,,,,,
Isaalo,Kaliro,Isalo,1025.4,50.0,20.0,,,,,,,80.0,,,,,
Ruhunga,Kaliro,Isalo,1039.4,60.0,40.0,0.0,,,,,,80.0,,,,,
Ruhunga,Kaliro,Isalo,1053.2,26.0,40.0,0.75,,,,,,80.0,,,,,
Bubalala,Kaliro,Butambala,1019.1,55.0,2.0,0.9,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1056.2,37.0,20.0,2.0,,,,,,,,,,,
Buseru,Kaliro,Butambala,1045.0,68.0,60.0,0.5,,,,,500.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1042.9,63.0,20.0,1.0,,,,,300.0,,,,,,
Buseru,Kaliro,Butambala,1037.8,60.0,60.0,0.8,,,,,,,,,,,
Kiranga_A,Kaliro,Bupyana,1035.4,50.0,5.0,0.75,,,,,,,,,,,
Nakisenyi,Kaliro,Panyolo,1040.3,25.0,60.0,0.75,130.0,,,,400.0,,,,,,
Kiranga_B,Kaliro,Bupyana,1040.2,85.0,60.0,0.8,,,14.0,,,,,,,,
Isaalo,Kaliro,Isalo,998.0,22.0,30.0,,,,,,,,,,,,
Ireehe,Kaliro,Butambala,1043.4,57.0,60.0,1.5,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1014.0,28.0,30.0,,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1039.4,62.0,100.0,,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1041.5,57.0,6.0,1.5,,,,,,,,,,,
Nabweyo,Kaliro,Gadumire,1063.8,26.0,50.0,,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1049.5,39.0,30.0,1.7,,,,,,,,,,,
Butwoli,Kaliro,Isalo,1038.2,40.0,30.0,0.75,,,,,,,,,,,
Ireehe,Kaliro,Butambala,1034.8,82.0,150.0,0.9,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1055.2,41.0,15.0,2.0,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1022.9,23.0,4.0,2.0,,,,,400.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1045.0,45.0,16.0,1.0,,,,,,,,,,,
Buseru,Kaliro,Butambala,1035.5,40.0,60.0,,,,,,,,,,,,
Nakawa,Kaliro,Butambala,1028.2,43.0,25.0,1.0,,,,,400.0,,,,,,
Isaalo,Kaliro,Isalo,1018.6,50.0,40.0,2.0,,,,,60.0,,,,,,
Nakawa,Kaliro,Butambala,1024.8,26.0,30.0,0.4,,,,,60.0,,,,,,
Nabweyo,Kaliro,Gadumire,1064.0,30.0,60.0,3.0,,,,,,,,,,,
Nansohera_B,Kaliro,Bupyana,1050.1,42.0,60.0,0.7,,,,,,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1073.4,72.0,20.0,3.0,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1044.9,40.0,30.0,,,,,,2000.0,,,,,,
Buvundya,Kaliro,Bupyana,1017.4,40.0,20.0,0.0,,,,,80.0,,,,,0.0,
Kiranga_A,Kaliro,Bupyana,1021.0,30.0,60.0,1.0,,,,,200.0,40.0,,5.0,,50.0,
Kiranga_B,Kaliro,Bupyana,1045.0,23.0,60.0,,,,,,200.0,40.0,,5.0,,50.0,
Buseta,Kaliro,Isalo,1035.6,39.0,60.0,,,,,,,,,,,,
Busiginyi,Kaliro,Isalo,1037.6,30.0,60.0,,80.0,,4.0,,200.0,,,,,0.0,
Kiranga_A,Kaliro,Bupyana,1051.7,58.0,60.0,1.25,115.0,,,,1100.0,,,,,0.0,
Budongo,Kaliro,Butambala,1043.0,45.0,15.0,0.5,,,,,1200.0,,,,,,
Isaalo,Kaliro,Isalo,1038.5,20.0,60.0,,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1043.7,52.0,12.0,2.0,,,,,300.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1030.5,76.0,40.0,2.3,,,,,,,,,,,
Nakawa,Kaliro,Butambala,1028.2,22.0,2.0,,115.0,,,,1100.0,,,,,0.0,
Nansohera_A,Kaliro,Bupyana,1022.8,27.0,30.0,,,,5.0,,400.0,,,,,,
Bukere,Kaliro,Bupyana,1023.7,38.0,60.0,1.8,,,,,1200.0,,,,,,
Kyamba,Kaliro,Bupyana,1042.4,50.0,120.0,0.8,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1050.5,30.0,30.0,1.5,,,,,,,,,,,
Buseru,Kaliro,Butambala,1016.3,51.0,40.0,0.5,,,,,1200.0,,,,,,
Butwoli,Kaliro,Isalo,1024.6,26.0,40.0,,,,,,60.0,,,6.0,,10.0,
Namukoko,Kaliro,Bupyana,1046.3,40.0,30.0,0.5,,,,,60.0,,,6.0,,10.0,
Kiranga_A,Kaliro,Bupyana,1052.3,60.0,20.0,0.0,,,,,60.0,,,6.0,,10.0,
Ruhunga,Kaliro,Isalo,1017.2,44.0,25.0,0.25,,,,,200.0,,,,,,
Butambala,Kaliro,Butambala,1052.2,52.0,30.0,0.0,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1017.9,30.0,50.0,0.5,,,,,,,,,,,
Butwoli,Kaliro,Isalo,1040.4,22.0,20.0,1.0,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1028.5,63.0,60.0,,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1036.6,31.0,12.0,0.5,,,,,400.0,,,,,,
Butambala,Kaliro,Butambala,1048.8,41.0,15.0,0.5,,,,,,,,,,,
Butambala,Kaliro,Butambala,1038.1,37.0,40.0,,,,,,100.0,,,,,,
Bugonya,Kaliro,Gadumire,1073.9,39.0,60.0,1.8,,,13.0,,200.0,,,6.0,,48.0,
Namukoko,Kaliro,Bupyana,1052.8,40.0,30.0,2.0,115.0,,,,1100.0,,,,,0.0,
Ireehe,Kaliro,Butambala,1033.1,60.0,30.0,1.0,,,,,,,,,,2.0,
Bugada_Gadumire,Kaliro,Gadumire,1059.8,32.0,3.0,1.0,,,,,400.0,,,,,,
Bususwa,Kaliro,Gadumire,1095.5,43.0,15.0,1.0,63.0,,41.0,,140.0,,,,,9.0,45.0
Nyolo,Kaliro,Panyolo,1036.2,28.0,45.0,0.29,29.0,,,,50.0,,,31.0,,3.0,
Nakisenyi,Kaliro,Panyolo,1035.3,54.0,200.0,2.3,,,,,40.0,,,,,,
Buseru,Kaliro,Butambala,1029.7,32.0,120.0,0.4,,,,,,,,,,,
Nakawa,Kaliro,Butambala,1028.2,80.0,60.0,1.0,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1023.7,61.0,30.0,0.3,,,,,400.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1046.5,58.0,60.0,,,,,,400.0,,,,,,
Butambala,Kaliro,Butambala,1030.5,28.0,60.0,,,,,,400.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1053.4,37.0,25.0,0.8,115.0,,,,1100.0,,,,,0.0,
Kyamba,Kaliro,Bupyana,1049.4,57.0,120.0,2.0,,,8.0,,140.0,,,,,,
Namukoko,Kaliro,Bupyana,1032.4,48.0,30.0,0.5,,,,,2000.0,,,,,,
Bubalala,Kaliro,Butambala,1021.9,40.0,60.0,0.0,,,,,2000.0,,,,,,
Kyamba,Kaliro,Bupyana,1044.4,39.0,60.0,,,,,,,,,,,,
Kiranga_A,Kaliro,Bupyana,1024.5,26.0,60.0,0.0,,,,,200.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1039.1,24.0,120.0,0.0,,,,,,,,,,,
Buseta,Kaliro,Isalo,1022.8,40.0,30.0,0.75,115.0,,,,1100.0,,,,,0.0,
Iguliryo,Kaliro,Panyolo,997.5,30.0,60.0,1.0,,,,,120.0,,,,,,
Nyolo,Kaliro,Panyolo,1049.5,23.0,20.0,1.5,,,,,100.0,,,,,,
Bubalala,Kaliro,Butambala,1026.1,81.0,50.0,1.0,,,,,,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1052.4,50.0,30.0,2.0,,,,,200.0,,,,,,
Bukere,Kaliro,Bupyana,1023.7,46.0,20.0,5.5,,,,,,,,,,,
Butambala,Kaliro,Butambala,1050.2,23.0,123.0,0.25,10.0,,,,60.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1034.0,23.0,90.0,,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1042.3,46.0,180.0,0.8,,,,,500.0,,,,,10.0,140.0
Busiro,Kaliro,Panyolo,1035.2,80.0,30.0,8.0,,,13.0,,200.0,,,6.0,,48.0,
Busiro_Tabina,Kaliro,Panyolo,1043.9,54.0,350.0,0.5,,,,,72.0,,,,7.0,20.0,
Nakawa,Kaliro,Butambala,1038.4,75.0,30.0,0.75,,,,,,,,,,,
Busiginyi,Kaliro,Isalo,1014.4,23.0,30.0,1.0,,,,,80.0,,,,,0.0,
Bususwa,Kaliro,Gadumire,1043.0,35.0,120.0,0.0,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1026.9,42.0,60.0,2.0,,,,,1000.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1017.5,70.0,27.0,0.6,,,29.0,,70.0,,,,,18.0,
Busiro,Kaliro,Panyolo,1051.5,30.0,30.0,,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1033.4,21.0,2.0,,,,,,,,,,,,
Kyamba,Kaliro,Bupyana,1044.0,53.0,120.0,0.5,,,,,,,,,,,
Kiranga_A,Kaliro,Bupyana,1041.8,25.0,60.0,2.25,,,5.0,,400.0,,,,,,
Nakawa,Kaliro,Butambala,1023.2,60.0,60.0,,,,,,400.0,,,,,,
Wamusuta,Kaliro,Gadumire,1023.7,33.0,2.0,0.75,,,,,20.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1066.3,67.0,20.0,1.0,,,,,160.0,,,,,,
Bukere,Kaliro,Bupyana,1032.1,35.0,30.0,1.5,,,,,400.0,,,,,,
Bubalala,Kaliro,Butambala,1027.1,51.0,60.0,0.5,,,,,400.0,,,,,,
Bubalala,Kaliro,Butambala,1052.8,59.0,120.0,2.0,,,,,100.0,,,,,,
Buseru,Kaliro,Butambala,1021.3,60.0,120.0,0.25,,,,,400.0,,,,,,
Nakawa,Kaliro,Butambala,1056.9,27.0,120.0,,,,,,400.0,,,,,,
Busege,Kaliro,Panyolo,1035.2,41.0,120.0,4.0,,,,,140.0,,,,,20.0,
Bukere,Kaliro,Bupyana,1033.6,46.0,60.0,4.0,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1016.2,57.0,60.0,,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1020.0,65.0,2.0,,,,5.0,,400.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1035.7,50.0,20.0,1.25,,,,,,,,,,6.0,
Nyolo,Kaliro,Panyolo,1036.2,26.0,37.0,0.3,27.0,,60.0,,78.0,,,39.0,,5.0,
Buvundya,Kaliro,Bupyana,1034.1,28.0,1.0,0.3,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1023.9,45.0,60.0,0.75,,,,,,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1058.9,46.0,30.0,0.5,,,,,180.0,,,,,,
Butambala,Kaliro,Butambala,1020.0,30.0,30.0,0.0,,,,,1000.0,,,,,,
Buvundya,Kaliro,Bupyana,1050.8,56.0,60.0,1.0,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1032.0,57.0,120.0,2.0,,,,,10.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1040.0,57.0,60.0,,,,,,60.0,,,,,,
Butwoli,Kaliro,Isalo,1039.7,32.0,30.0,0.0,,,,,1000.0,,,,,,
Bunabiro,Kaliro,Gadumire,1071.2,32.0,120.0,0.25,,,12.0,,60.0,,,,,0.0,
Nakisenyi,Kaliro,Panyolo,1034.5,49.0,60.0,2.5,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1028.1,89.0,40.0,0.25,,,,,1000.0,,,,,,
Bunabiro,Kaliro,Gadumire,1039.2,32.0,60.0,2.0,,,,,600.0,,,,,12.0,
Busiro,Kaliro,Panyolo,1057.9,50.0,120.0,0.0,,,,,,,,,,,
Kyamba,Kaliro,Bupyana,1044.4,110.0,60.0,1.8,,,,,1000.0,,,,,,
Buvundya,Kaliro,Bupyana,1029.8,82.0,120.0,0.0,,,,,1000.0,,,,,,
Bukere,Kaliro,Bupyana,1016.2,62.0,15.0,1.0,,,,,1000.0,,,,,,
Butambala,Kaliro,Butambala,1037.4,30.0,20.0,0.9,,,,,1000.0,,,,,,
Buseru,Kaliro,Butambala,1026.7,26.0,60.0,0.5,,,,,1000.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1054.4,40.0,120.0,,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1050.3,60.0,8.0,,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1016.0,27.0,120.0,1.8,,,,,1000.0,,,,,,
Kiranga_B,Kaliro,Bupyana,1039.0,80.0,60.0,1.0,,,,,,,,,,,
Buseru,Kaliro,Butambala,1026.8,28.0,60.0,1.5,,,,,,,,,,,
Budongo,Kaliro,Butambala,1021.6,57.0,60.0,0.75,,,,,200.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1024.7,20.0,80.0,0.9,,,,,200.0,,,,,,
Wamusuta,Kaliro,Gadumire,1067.4,29.0,15.0,2.0,,,,,140.0,,,,,,
Bususwa,Kaliro,Gadumire,1059.2,30.0,60.0,,,,,,60.0,,,,,,
Buseta,Kaliro,Isalo,1040.1,21.0,15.0,,,,,,300.0,,,,,5.0,
Buvundya,Kaliro,Bupyana,1031.1,42.0,60.0,0.0,,,,,300.0,,,,,5.0,
Busiro,Kaliro,Panyolo,1052.1,26.0,6.0,,,,,,100.0,,,,,,
Busiginyi,Kaliro,Isalo,1031.4,20.0,60.0,0.5,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1037.6,22.0,40.0,,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1044.4,22.0,50.0,1.7,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1017.4,28.0,60.0,0.0,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1042.0,81.0,60.0,0.5,,,,,,,,,,,
Bususwa,Kaliro,Gadumire,1067.0,67.0,46.0,1.5,75.0,,,,200.0,64.0,,,,20.0,40.0
Nakawa,Kaliro,Butambala,1028.6,21.0,10.0,0.25,,,,,,,,,,,
Buseta,Kaliro,Isalo,1033.8,50.0,30.0,1.0,,,,,300.0,,,,,5.0,
Buseru,Kaliro,Butambala,1019.0,71.0,130.0,0.25,,,,,1000.0,,,,,,
Nabweyo,Kaliro,Gadumire,1047.9,24.0,10.0,1.5,,,,,,,,,,15.0,
Butambala,Kaliro,Butambala,1034.5,50.0,10.0,,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1040.4,33.0,30.0,0.25,,,,,,,,,,,
Busege,Kaliro,Panyolo,1021.4,36.0,70.0,2.0,,,,,,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1054.4,44.0,120.0,0.75,60.0,,,,600.0,,,,,16.0,
Nakawa,Kaliro,Butambala,1028.9,69.0,60.0,3.5,,,,,,,,,,,
Kyamba,Kaliro,Bupyana,1043.3,33.0,32.0,0.8,,,,,200.0,115.0,,,,,200.0
Ruhunga,Kaliro,Isalo,1048.3,20.0,180.0,,,,,,200.0,115.0,,,,,200.0
Wamusuta,Kaliro,Gadumire,1044.8,60.0,15.0,1.0,,,,,,,,,,,
Butambala,Kaliro,Butambala,1033.8,26.0,30.0,3.0,,,,,300.0,,,,,5.0,
Ireehe,Kaliro,Butambala,1043.5,62.0,120.0,2.8,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1006.0,48.0,120.0,0.5,,,,,,,,,,2.0,
Iguliryo,Kaliro,Panyolo,1022.1,29.0,60.0,0.5,,,,,60.0,,,,,,
Kyamba,Kaliro,Bupyana,1040.1,26.0,120.0,1.25,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1036.2,32.0,49.0,0.7,43.5,,40.0,,100.0,,,35.0,,30.0,
Nakisenyi,Kaliro,Panyolo,1002.3,45.0,120.0,2.3,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1028.0,58.0,140.0,2.0,,,,,120.0,,,,,1.0,
Butambala,Kaliro,Butambala,1024.4,50.0,160.0,0.25,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1072.0,65.0,120.0,1.5,,,21.0,,200.0,,,,,3.0,
Butambala,Kaliro,Butambala,1032.4,60.0,10.0,0.25,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1040.1,70.0,120.0,0.0,,,,,,,,,,,
Busege,Kaliro,Panyolo,1036.2,19.0,60.0,,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1052.8,31.0,25.0,,,,,,,,,,,,
Nakisenyi,Kaliro,Panyolo,1020.0,79.0,60.0,4.0,,,,,1000.0,,,,,100.0,
Bukere,Kaliro,Bupyana,1007.7,28.0,8.0,0.5,,,,,,,,,,,28.0
